Date: 08/29/2015
Time: 21:30:44
Cores: 3
Random data: True
# of trials: 100

======================================

83052 ms
85029 ms
87477 ms
85569 ms
83469 ms
85525 ms
86046 ms
84954 ms
85972 ms
87934 ms
83666 ms
83304 ms
83382 ms
82775 ms
84834 ms
86398 ms
83491 ms
82998 ms
83285 ms
85691 ms
86287 ms
82988 ms
86044 ms
86358 ms
88547 ms
89214 ms
83801 ms
87014 ms
84842 ms
86681 ms
83415 ms
89263 ms
82764 ms
88852 ms
87904 ms
84478 ms
86479 ms
90427 ms
84730 ms
85566 ms
82828 ms
86763 ms
86722 ms
83649 ms
84788 ms
85731 ms
85667 ms
86257 ms
87088 ms
88865 ms
85448 ms
85330 ms
90008 ms
86400 ms
87734 ms
86888 ms
85897 ms
82277 ms
86682 ms
84405 ms
88027 ms
86630 ms
86539 ms
85707 ms
84193 ms
84848 ms
84306 ms
87687 ms
85604 ms
85282 ms
85258 ms
83765 ms
85824 ms
81948 ms
85754 ms
85846 ms
87766 ms
85888 ms
84907 ms
85812 ms
83174 ms
86558 ms
84343 ms
84778 ms
84924 ms
90853 ms
84303 ms
84894 ms
86959 ms
85947 ms
85322 ms
88973 ms
85693 ms
83579 ms
86793 ms
83486 ms
82940 ms
84951 ms
88330 ms
81312 ms

======================================

Average: 85596.35 ms
Minimum: 81312 ms
Maximum: 90853 ms
Standard deviation: 1920.46472175 ms
