Date: 09/02/2015
Time: 09:26:48
Cores: 3
Random data: True
# of trials: 100

======================================

86768 ms
82874 ms
82607 ms
82356 ms
82031 ms
80236 ms
79721 ms
83563 ms
83896 ms
84059 ms
80483 ms
83428 ms
85310 ms
83826 ms
83101 ms
81816 ms
86584 ms
85602 ms
82005 ms
82486 ms
83759 ms
82945 ms
83591 ms
82054 ms
84258 ms
83579 ms
82349 ms
80837 ms
83873 ms
82962 ms
82234 ms
83393 ms
81125 ms
84289 ms
82149 ms
80488 ms
85294 ms
81700 ms
83351 ms
84109 ms
78086 ms
84599 ms
82393 ms
82481 ms
83928 ms
82053 ms
83504 ms
84168 ms
84190 ms
81666 ms
80753 ms
82983 ms
83740 ms
82649 ms
85514 ms
83788 ms
84812 ms
82290 ms
86333 ms
84122 ms
82912 ms
84397 ms
83011 ms
82116 ms
83336 ms
83031 ms
82550 ms
83990 ms
86891 ms
84904 ms
80719 ms
84447 ms
81244 ms
81394 ms
82423 ms
83106 ms
84456 ms
83860 ms
83014 ms
85519 ms
83015 ms
82415 ms
83624 ms
81873 ms
85441 ms
84561 ms
83957 ms
83321 ms
79549 ms
81965 ms
84547 ms
86184 ms
85008 ms
82984 ms
83678 ms
83027 ms
86815 ms
85277 ms
85335 ms
83124 ms

======================================

Average: 83281.63 ms
Minimum: 78086 ms
Maximum: 86891 ms
Standard deviation: 1639.43776128 ms
