Date: 09/02/2015
Time: 09:45:23
Cores: 3
Random data: True
# of trials: 100

======================================

84010 ms
87413 ms
82226 ms
84180 ms
84150 ms
84313 ms
84070 ms
86030 ms
86078 ms
82836 ms
86056 ms
84129 ms
85740 ms
83139 ms
84821 ms
84925 ms
83305 ms
87491 ms
87930 ms
85739 ms
92366 ms
84103 ms
84224 ms
88048 ms
81340 ms
85090 ms
84986 ms
87070 ms
86823 ms
90638 ms
88050 ms
85702 ms
82732 ms
85222 ms
85295 ms
89428 ms
86826 ms
85762 ms
81999 ms
83237 ms
84665 ms
84879 ms
85457 ms
86707 ms
86744 ms
85683 ms
84926 ms
82717 ms
84768 ms
87214 ms
85961 ms
84277 ms
85477 ms
89025 ms
82557 ms
86666 ms
83477 ms
84642 ms
87080 ms
86614 ms
87589 ms
83619 ms
83956 ms
92080 ms
82708 ms
85962 ms
87000 ms
84328 ms
84148 ms
85703 ms
83130 ms
84804 ms
85643 ms
84192 ms
83233 ms
87498 ms
84944 ms
88215 ms
87729 ms
83756 ms
85401 ms
83251 ms
89341 ms
84978 ms
82936 ms
83708 ms
84059 ms
82701 ms
85203 ms
85617 ms
87616 ms
83914 ms
85473 ms
82973 ms
83962 ms
83198 ms
84147 ms
80962 ms
86442 ms
87011 ms

======================================

Average: 85301.88 ms
Minimum: 80962 ms
Maximum: 92366 ms
Standard deviation: 2097.48900965 ms
